SoldPrice;Type;YearBuilt;Area;Zip;Baths;Beds;GarageType;GarageSpaces;ParkingSpaces
375000;Condo, Penthouse;2007;76;60077;2;2;Attached;2;0
383500;Condo;2006;76;60077;2;3;Attached;2;0
350000;1 Story;1955;76;60076;1;3;Attached, Detached;4;0
356000;2 Stories;1938;76;60076;2;3;Attached, Detached;3;0
462000;2 Stories;UNK;76;60076;2;4;Attached, Detached;3;0
355000;Split Level;1957;76;60076;2;3;Detached;2;2
400000;Split Level w/ Sub;1966;76;60076;2;4;Detached;2;6
411000;1 Story;1960;76;60076;2;3;Detached;2;6
145000;1 Story;1917;76;60077;1;2;Detached;2;0
196000;2 Stories;1944;76;60076;1;2;Detached;2;0
220000;2 Stories;1956;76;60077;2;4;Detached;2;0
240000;2 Stories;1950;76;60077;1;2;Detached;2;0
255000;Raised Ranch;1954;76;60076;2;3;Detached;2;0
260000;1 Story;1956;76;60076;2;2;Detached;2;0
265000;Raised Ranch;1958;76;60076;2;3;Detached;2;0
268000;1 Story;UNK;76;60077;2;3;Detached;2;0
270000;2 Stories;1952;76;60076;2;5;Detached;1;0
275000;Split Level;1965;76;60076;1;3;Detached;2;0
275000;Split Level;1955;76;60077;2;3;Detached;2;0
278000;1 Story;1951;76;60076;2;2;Detached;2;0
280000;2 Stories;UNK;76;60076;1;4;Detached;2;0
280100;1 Story;1955;76;60076;1;3;Detached;2;0
290000;1.5 Story;1956;76;60076;1;4;Detached;1;0
290000;1 Story;1958;76;60076;2;3;Detached;2;0
291200;1 Story;1952;76;60077;1;3;Detached;2;0
293000;1 Story;1955;76;60076;2;3;Detached;02.maj;0
298000;Raised Ranch;1962;76;60077;1;3;Detached;2;0
300000;1.5 Story;1956;76;60076;2;3;Detached;2;0
300000;1 Story;1954;76;60077;2;3;Detached;02.maj;0
300000;1 Story;UNK;76;60076;2;3;Detached;2;0
300000;1 Story;1953;76;60076;2;3;Detached;2;0
305000;1.5 Story;1940;76;60076;2;4;Detached;2;0
305000;1 Story;1958;76;60076;2;3;Detached;2;0
307000;1 Story;1956;76;60076;1;3;Detached;2;0
307500;2 Stories;1950;76;60076;2;4;Detached;1;0
310000;Split Level w/ Sub;UNK;76;60076;2;3;Detached;02.maj;0
313000;2 Stories;1949;76;60077;2;2;Detached;1;0
315000;2 Stories;1954;76;60076;1;4;Detached;02.maj;0
315000;1 Story;1955;76;60077;2;2;Detached;2;0
317000;2 Stories;UNK;76;60076;1;3;Detached;02.maj;0
319000;Split Level w/ Sub;1956;76;60076;2;3;Detached;2;0
319000;2 Stories;1941;76;60076;1;3;Detached;2;0
320000;1 Story;1952;76;60077;2;2;Detached;2;0
321445;2 Stories;1960;76;60077;2;3;Detached;2;0
327500;1 Story;1955;76;60076;2;2;Detached;2;0
330000;Split Level w/ Sub;1961;76;60077;2;3;Detached;2;0
330000;Split Level w/ Sub;1951;76;60077;2;3;Detached;2;0
333000;Split Level;1954;76;60076;2;3;Detached;2;0
335000;2 Stories;1956;76;60076;2;3;Detached;02.sty;0
335000;1 Story;1956;76;60076;2;3;Detached;01.maj;0
335047;1 Story;1953;76;60077;2;2;Detached;01.maj;0
339000;1 Story;1954;76;60076;2;3;Detached;2;0
342247;1 Story;1956;76;60076;2;3;Detached;2;0
345000;2 Stories;1952;76;60076;2;4;Detached;2;0
350000;2 Stories;1955;76;60077;3;4;Detached;2;0
350000;Split Level w/ Sub;1969;76;60077;2;4;Detached;2;0
353000;1 Story;1955;76;60077;2;3;Detached;02.maj;0
355000;1 Story;1957;76;60076;2;3;Detached;2;0
359500;1.5 Story;1962;76;60077;2;4;Detached;2;0
359900;2 Stories;1950;76;60077;2;3;Detached;2;0
365000;1 Story;1956;76;60077;2;3;Detached;2;0
365000;2 Stories;1948;76;60076;2;3;Detached;2;0
367000;2 Stories;1953;76;60076;2;3;Detached;02.maj;0
368000;2 Stories;1942;76;60077;1;3;Detached;02.maj;0
369000;2 Stories;1928;76;60076;2;3;Detached;2;0
379000;2 Stories;UNK;76;60076;2;4;Detached;1;0
380000;2 Stories;1952;76;60077;2;3;Detached;02.maj;0
389000;Raised Ranch;1951;76;60076;2;3;Detached;2;0
390000;1.5 Story;1954;76;60076;2;3;Detached;2;0
394500;1 Story;UNK;76;60076;2;3;Detached;2;0
395000;2 Stories;1953;76;60077;3;5;Detached;2;0
405000;1 Story;1959;76;60077;2;3;Detached;2;0
410000;Split Level;1969;76;60076;2;3;Detached;3;0
415000;1 Story;1957;76;60076;3;3;Detached;2;0
418000;1 Story;1955;76;60076;2;3;Detached;02.maj;0
425000;Split Level;1962;76;60076;2;3;Detached;02.maj;0
430000;2 Stories;1939;76;60076;1;3;Detached;2;0
545000;1.5 Story;1949;76;60077;3;5;Detached;2;0
695000;2 Stories;2012;76;60077;2;5;Detached;2;0
122500;Condo;1928;76;60077;2;1;Detached;1;0
181000;Condo;UNK;76;60077;1;2;Detached;1;0
205000;Townhouse-2 Story;1956;76;60077;1;2+1 bsmt;Detached;1;0
210000;1/2 Duplex, Townhouse-2 Story;1943;76;60076;1;2;Detached;2;0
250000;1/2 Duplex;1961;76;60076;1;3;Detached;1;0
175000;Condo;1978;76;60077;2;2;None;0;0
260000;1 Story;1954;76;60076;1;3;None;0;1
80000;Condo;1956;76;60077;1;1;None;0;1
86000;Condo;1956;76;60077;1;1;None;0;1
88000;Condo, Mid Rise (4-6 Stories);1970;76;60077;1;1;None;0;1
90000;Condo;UNK;76;60076;1;2;None;0;1
90000;Condo;UNK;76;60077;1;1;None;0;1
97000;Condo;1956;76;60077;1;2;None;0;1
102100;Condo;1957;76;60077;1;2;None;0;1
105000;Condo, Mid Rise (4-6 Stories);UNK;76;60076;1;1;None;0;1
105000;Other;1953;76;60076;1;2;None;0;1
110000;Condo;1966;76;60077;1;1;None;0;1
111100;Condo;UNK;76;60077;1;2;None;0;1
115000;Condo;1955;76;60076;1;3;None;0;1
115000;Condo;1970;76;60077;1;1;None;0;1
121900;Condo;1960;76;60076;1;1;None;0;1
122000;Condo;1966;76;60077;1;1;None;0;1
125000;Condo, Low Rise (1-3 Stories);1955;76;60077;1;2;None;0;1
128000;Condo;1967;76;60077;1;2;None;0;1
130000;Townhouse-2 Story;UNK;76;60076;1;2;None;0;1
131250;Condo;1963;76;60077;1;3;None;0;1
132000;Condo;1956;76;60077;1;2;None;0;1
140000;Condo;1968;76;60076;2;2;None;0;1
143000;Condo, Low Rise (1-3 Stories);UNK;76;60077;1;2;None;0;1
143000;Condo;1965;76;60077;1;2;None;0;1
143000;Corridor;UNK;76;60077;1;2;None;0;1
145000;Condo;1963;76;60076;2;2;None;0;1
145000;Condo;1969;76;60076;2;2;None;0;1
147000;Condo;UNK;76;60076;1;2;None;0;1
149000;Condo;1963;76;60076;2;2;None;0;1
150000;Condo;1965;76;60076;2;3;None;0;1
150000;Condo;1957;76;60077;1;2;None;0;1
158000;Mid Rise (4-6 Stories);1974;76;60076;2;3;None;0;1
165000;Condo;1971;76;60076;2;3;None;0;1
189000;Townhouse-2 Story;1959;76;60077;1;3;None;0;1
193500;Condo;1968;76;60077;2;3;None;0;1
205000;Townhouse-2 Story;1978;76;60077;1;2;None;0;1
206000;Townhouse-2 Story;1955;76;60076;1;3;None;0;1
210000;Townhouse-2 Story;1958;76;60076;1;2;None;0;1
210000;Townhouse-2 Story;1958;76;60076;1;3;None;0;1
214500;Townhouse-2 Story;1957;76;60077;1;2;None;0;1
215000;Townhouse-2 Story;1958;76;60076;1;3;None;0;1
222500;Townhouse-2 Story;1958;76;60076;1;2;None;0;1
298000;Split Level;UNK;76;60076;2;3;None;0;2
355000;1 Story;1956;76;60076;2;3;None;0;2
365000;2 Stories;1898;76;60077;3;4;None;0;2
147000;Condo;1969;76;60076;2;2;None;0;2
299000;Split Level w/ Sub;1970;76;60076;2;4;None;0;3
390000;1.5 Story;1963;76;60076;2;4;None;0;3
308000;1 Story;1955;76;60076;2;2;None;0;4
220000;Townhouse-2 Story;UNK;76;60076;1;2;None;0;4
185000;1 Story;1927;76;60076;1;2;None;0;0
265000;1 Story;1914;76;60077;1;3;None;0;0
270000;1.5 Story;1963;76;60076;2;3;None;0;0
271000;2 Stories;1943;76;60076;2;2;None;0;0
305000;2 Stories;1943;76;60076;1;3;None;0;0
308000;2 Stories;1967;76;60076;1;3;None;0;0
315500;1 Story;1955;76;60076;2;3;None;0;0
320000;2 Stories;1975;76;60076;1;3;None;0;0
